,id,address,price,bedrooms,bathrooms,square_feet,city,zipcode,state,lat,lon,SHAPE
0,2,"1200 Matamoros St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",179900,3,2,1627,Mission,78572,TX,26.2083479671799,-98.3146725324614,"{'x': -98.31489212499997, 'y': 26.20844496500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
1,3,"3303 Santa Erica St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",249000,4,4,3066,Mission,78572,TX,26.1703693557091,-98.3034011975389,"{'x': -98.30307634399998, 'y': 26.172522010000023, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
2,4,"1406 Colosios Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",305000,4,5,3324,Mission,78572,TX,26.1893232094464,-98.3107733818673,"{'x': -98.31053067499994, 'y': 26.189263854000046, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
3,5,"1001 Burney St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",130000,3,2,1806,Mission,78572,TX,26.2186216470884,-98.3372837992595,"{'x': -98.33711790299998, 'y': 26.218410275000053, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
4,6,"1206 Flamingo Ave Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",170000,4,3,2808,Mission,78572,TX,26.2126903861037,-98.2870018838708,"{'x': -98.28683017399999, 'y': 26.213496736000025, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
5,7,"1807 Tierra Dorada Blvd Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",135500,3,2,1318,Mission,78572,TX,26.2104090321158,-98.3478923991713,"{'x': -98.34787515499994, 'y': 26.210575667000057, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
6,8,"2013 Peace Ave Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",119900,4,2,1745,Mission,78572,TX,26.2267039167181,-98.3285350843114,"{'x': -98.32830876599996, 'y': 26.227702519000047, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
7,9,"1201 Lucksinger Rd Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",189000,3,4,2268,Mission,78572,TX,26.2142090793695,-98.2964060535503,"{'x': -98.29609801199996, 'y': 26.214166383000077, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
8,10,"2213 Hackberry Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",279850,4,3,3292,Mission,78572,TX,26.2213741025957,-98.2812557232766,"{'x': -98.28116164299996, 'y': 26.22158293800004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
9,11,"2402 San Alejandro Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",479000,6,7,5484,Mission,78572,TX,26.1760146840621,-98.3044812806162,"{'x': -98.30501434699994, 'y': 26.176479047000043, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
10,12,"2503 Brentwood Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",199900,4,3,1900,Mission,78572,TX,26.2132562093608,-98.2802187739935,"{'x': -98.28043407799998, 'y': 26.213373798000077, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
11,13,"1710 Jonathon Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",279000,3,4,2488,Mission,78572,TX,26.1939731902625,-98.3017878679544,"{'x': -98.30175393199994, 'y': 26.19417175800004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
12,14,"4109 Santa Maria St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",239900,4,4,3416,Mission,78572,TX,26.1621021523157,-98.3006204630378,"{'x': -98.30350131599994, 'y': 26.16336835800007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
13,15,"403 Venus St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",98000,2,2,1132,Mission,78572,TX,26.2067582090146,-98.3036854883401,"{'x': -98.30389186799994, 'y': 26.205567087000077, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
14,16,"2431 Christina Ave Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",245000,3,4,2116,Mission,78572,TX,26.2045545525338,-98.2839351655591,"{'x': -98.28424799999999, 'y': 26.204498475000037, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
15,17,"7464 Floyd Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",105000,2,2,1127,Mission,78572,TX,26.244817135886,-98.4152691957154,"{'x': -98.41519616499994, 'y': 26.24480480300008, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
16,18,"3900 El Jardin Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",339000,4,5,3002,Mission,78572,TX,26.1715582791583,-98.289074725632,"{'x': -98.28899564099999, 'y': 26.171317318000035, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
17,19,"909 Red River St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",217500,4,3,2287,Mission,78572,TX,26.1938485081301,-98.2971464761014,"{'x': -98.29735144099999, 'y': 26.193931617000032, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
18,20,"3706 Bouganvilla St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",199900,5,4,3657,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.41040179299995, 'y': 26.234780828000055, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
19,21,"2808 Santa Esperanza Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",415000,4,6,4393,Mission,78572,TX,26.1733989164964,-98.2901288217277,"{'x': -98.28998713199996, 'y': 26.173529873000064, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
20,22,"1204 Elm St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",176900,3,2,1758,Mission,78572,TX,26.2164073278787,-98.3112143889297,"{'x': -98.31044581599997, 'y': 26.216353689000073, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
21,23,"3005 Santa Monica Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",303900,4,4,3075,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.30112092699994, 'y': 26.172581836000063, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
22,24,"417 Rio Grande Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",269000,5,4,3488,Mission,78572,TX,26.1879728609773,-98.3005786558115,"{'x': -98.30054653399998, 'y': 26.187802721000025, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
23,25,"817 Rankin St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",130000,3,2,1657,Mission,78572,TX,26.2255630248441,-98.3343570086049,"{'x': -98.33429334799996, 'y': 26.225624725000046, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
24,26,"1715 Palazzo Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",1495000,6,7,8793,Mission,78572,TX,26.187118666879,-98.3029571160888,"{'x': -98.30313623999996, 'y': 26.18760874700007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
25,27,"3400 Santa Susana St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",238000,4,3,3132,Mission,78572,TX,26.1689636962816,-98.2990488176861,"{'x': -98.29880983599998, 'y': 26.168931932000078, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
26,28,"1818 Crown Pointe Blvd Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",167900,4,2,1587,Mission,78572,TX,26.2187523460509,-98.2948814681073,"{'x': -98.29346523599997, 'y': 26.218664656000044, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
27,29,"2611 Redstone Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",349000,3,5,3508,Mission,78572,TX,26.2035353801067,-98.2816560501196,"{'x': -98.28153715099995, 'y': 26.20349144100004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
28,30,"3000 San Patricio St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",225000,5,4,2717,Mission,78572,TX,26.1606976608434,-98.3009229936886,"{'x': -98.30088496099995, 'y': 26.16089981700003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
29,31,"1608 Sebastian St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",263000,4,4,2173,Mission,78572,TX,26.1960146557669,-98.3036007888691,"{'x': -98.30357201599998, 'y': 26.19615474400007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
30,32,"1005 Berry St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",39900,3,2,1622,Mission,78572,TX,26.2173824697884,-98.3352775886443,"{'x': -98.33519944599999, 'y': 26.217846660000077, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
31,33,"2600 Sonora Ave Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",270000,3,4,2432,Mission,78572,TX,26.2012312936332,-98.2831031687818,"{'x': -98.28200819799997, 'y': 26.20178886900004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
32,34,"1205 Travis St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",1488710,7,9,10001,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.30721962999996, 'y': 26.194587781000052, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
33,35,"2107 Mauve Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",133000,3,2,1389,Mission,78572,TX,26.1891021331404,-98.3542211748681,"{'x': -98.35351555899996, 'y': 26.189032351000037, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
34,36,"1807 Sebastian St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",215000,3,3,2376,Mission,78572,TX,26.1954352787265,-98.2993601704151,"{'x': -98.29938579099996, 'y': 26.195287242000063, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
35,37,"1811 Fairway Cir Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",155000,3,2,1829,Mission,78572,TX,26.223140812883,-98.3151659739588,"{'x': -98.31541138699998, 'y': 26.223146969000027, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
36,38,"1502 Terrace Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",210000,4,3,2605,Mission,78572,TX,26.221376,-98.301683,"{'x': -98.30166270599995, 'y': 26.22156970700007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
37,39,"2605 Tack Dr # 122 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",60000,2,2,1268,Mission,78572,TX,26.2346713106067,-98.3262666647955,"{'x': -98.32625164299998, 'y': 26.234273022000025, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
38,40,"302 N Slabaugh Ave Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",59900,3,3,2169,Mission,78572,TX,26.2092135073254,-98.3314556382714,"{'x': -98.33147937899997, 'y': 26.209294785000054, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
39,41,"1703 Palazzo Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",375000,4,4,3278,Mission,78572,TX,26.1894040032543,-98.3030106191971,"{'x': -98.30304029399997, 'y': 26.189106442000025, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
40,42,"2101 Scout Ln Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",315000,4,3,2603,Mission,78572,TX,26.2150169477749,-98.2887667023823,"{'x': -98.28873925099998, 'y': 26.21498452900005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
41,43,"1406 Terrace Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",235000,4,3,2387,Mission,78572,TX,26.2215149362931,-98.3028625313087,"{'x': -98.30281381599997, 'y': 26.22173170700006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
42,44,"3401 Grand Canal Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",319000,4,4,3609,Mission,78572,TX,26.1701543828866,-98.304483272718,"{'x': -98.30449897099999, 'y': 26.169618489000072, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
43,45,"608 S Castillos Y Diamantes St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",150450,3,2,1701,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.35626599999995, 'y': 26.212130998000077, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
44,46,"2101 Village Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",185000,4,3,1851,Mission,78572,TX,26.2184740622695,-98.2903965163199,"{'x': -98.29043651699999, 'y': 26.218234235000068, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
45,47,"510 S Sol Dorado St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",132500,3,2,1228,Mission,78572,TX,26.2070906526723,-98.3626416767205,"{'x': -98.36238859199995, 'y': 26.207057190000057, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
46,48,"1102 Rio Balsas Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",235000,4,4,3189,Mission,78572,TX,26.1921041711164,-98.2968654691365,"{'x': -98.29668154099994, 'y': 26.19207244100005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
47,49,"2104 Loker St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",59000,2,2,1200,Mission,78572,TX,26.2077712646145,-98.2918022577969,"{'x': -98.29136228999994, 'y': 26.20776872500005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
48,50,"2703 Santa Olivia St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",309000,5,4,3574,Mission,78572,TX,26.1753093385401,-98.2988793662354,"{'x': -98.29911442999997, 'y': 26.175390036000067, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
49,51,"4110 Santa Veronica St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",279900,4,4,3100,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.30294139099999, 'y': 26.16213788600004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
50,52,"1804 Alex Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",219900,3,4,2493,Mission,78572,TX,26.1921752660838,-98.3000278863447,"{'x': -98.30033472499997, 'y': 26.19217222800006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
51,53,"3206 Santa Laura Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",159000,3,2,1966,Mission,78572,TX,26.1686089215998,-98.2881325705988,"{'x': -98.28792161699994, 'y': 26.168573190000075, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
52,54,"109 San Jacinto St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",190000,4,5,2351,Mission,78572,TX,26.1821657255581,-98.2939099396608,"{'x': -98.29373101799996, 'y': 26.182183631000044, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
53,55,"1017 Rio Grande Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",199000,4,3,3146,Mission,78572,TX,26.1831665996536,-98.2926798293782,"{'x': -98.29186086799996, 'y': 26.183179605000078, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
