Artist,Song,title
nsync,bye bye bye,bye bye bye
nsync,pop,pop
44,when your heart stops beating,when your heart stops beating
44,make you smile,make you smile
44,155,155
.38 special,hold on loosely,hold on loosely
.38 special,caught up in you,caught up in you
10 years,just cant win,just cant win
10 years,dying youth,dying youth
12 stones,anthem for the underdog,anthem for the underdog
21 savage,monster,monster
21 savage,a lot,a lot
2am club,mary,mary
2gether,the hardest part of breaking up (is getting back your stuff),the hardest part of breaking up (is getting back your stuff)
3 doors down,here without you,here without you
3 doors down,kryptonite,kryptonite
30 seconds to mars,kings and queens,kings and queens
30 seconds to mars,the kill,the kill
311,hey you,hey you
311,sunset in july,sunset in july
3lau,how you love me - acoustic version,how you love me - acoustic version
3oh3,youngblood,youngblood
3oh3,richman,richman
3oh3,starstrukk - feat. katyperry,starstrukk - feat. katyperry
3oh3,starstrukk (feat. katyperry),starstrukk - feat. katyperry
3oh3,dont trust me,dont trust me
3oh3,back to life,back to life
3oh3,streets of gold,streets of gold
3oh3,do or die,do or die
3oh3,double vision,double vision
3rddy baby,im on fire (beam me up) (feat. renzo),im on fire (beam me up) (feat. renzo)
4 non blondes,whats up,whats up
5 seconds of summer,shes kinda hot,shes kinda hot
5 seconds of summer,the girl who cried wolf,the girl who cried wolf
5 seconds of summer,want you back,want you back
5 seconds of summer,killer queen,killer queen
5 seconds of summer,dont stop,dont stop
5 seconds of summer,good girls,good girls
5 seconds of summer,what i like about you - studio mix,what i like about you - studio mix
5 seconds of summer,she looks so perfect,she looks so perfect
65daysofstatic,heat death infinity splitter,heat death infinity splitter
6lack,nonchalant,nonchalant
a boogie wit da hoodie,look back at it,look back at it
a change of pace,weekend warriors,weekend warriors
a dancing beggar,there is no hope here,there is no hope here
a day to remember,right back at it again,right back at it again
a day to remember,if it means a lot to you,if it means a lot to you
a day to remember,all i want,all i want
a flock of seagulls,i ran (so far away),i ran (so far away)
a great big world,say something,say something
a great big world,hold each other,hold each other
a perfect circle,judith,judith
a perfect circle,the hollow,the hollow
a perfect circle,3 libras,3 libras
a perfect circle,the noose,the noose
a perfect circle,over,over
