Artist,Song,cluster id,confidence
nsync,bye bye bye,,
nsync,pop,,
44,when your heart stops beating,,
44,make you smile,,
44,155,,
.38 special,hold on loosely,,
.38 special,caught up in you,,
10 years,just cant win,,
10 years,dying youth,,
12 stones,anthem for the underdog,,
21 savage,monster,,
21 savage,a lot,,
2am club,mary,,
2gether,the hardest part of breaking up (is getting back your stuff),,
3 doors down,here without you,,
3 doors down,kryptonite,,
30 seconds to mars,kings and queens,,
30 seconds to mars,the kill,,
311,hey you,,
311,sunset in july,,
3lau,how you love me - acoustic version,,
3oh3,youngblood,,
3oh3,richman,,
3oh3,starstrukk - feat. katyperry,0.0,0.7516923546791077
3oh3,starstrukk (feat. katyperry),0.0,0.7516923546791077
3oh3,dont trust me,,
3oh3,back to life,,
3oh3,streets of gold,,
3oh3,do or die,,
3oh3,double vision,,
3rddy baby,im on fire (beam me up) (feat. renzo),,
4 non blondes,whats up,,
5 seconds of summer,shes kinda hot,,
5 seconds of summer,the girl who cried wolf,,
5 seconds of summer,want you back,,
5 seconds of summer,killer queen,,
5 seconds of summer,dont stop,,
5 seconds of summer,good girls,,
5 seconds of summer,what i like about you - studio mix,,
5 seconds of summer,she looks so perfect,,
65daysofstatic,heat death infinity splitter,,
6lack,nonchalant,,
a boogie wit da hoodie,look back at it,,
a change of pace,weekend warriors,,
a dancing beggar,there is no hope here,,
a day to remember,right back at it again,,
a day to remember,if it means a lot to you,,
a day to remember,all i want,,
a flock of seagulls,i ran (so far away),,
a great big world,say something,,
a great big world,hold each other,,
a perfect circle,judith,,
a perfect circle,the hollow,,
a perfect circle,3 libras,,
a perfect circle,the noose,,
a perfect circle,over,,
a perfect circle,the outsider,,
a r i z o n a,feed the beast,,
a r i z o n a,oceans away,,
a rocket to the moon,sometimes,,
a rocket to the moon,like we used to,,
a rocket to the moon,life of the party,,
a rocket to the moon,whole lotta you,,
a rocket to the moon,mr. right,,
a rocket to the moon,ever enough,,
a silent film,harbour lights,,
a static lullaby,half man half shark equals one complete gentleman,,
a static lullaby,toxic,,
a static lullaby,toxic (britney spears cover),,
aap ferg,plain jane,,
aap mob,feels so good,,
aap rocky,multiply,,
ac/dc,tnt,,
ac/dc,highway to hell,,
ac/dc,back in black - live - 1991,1.0,0.9638582468032836
ac/dc,stormy may day,,
ac/dc,t.n.t.,,
ac/dc,back in black,1.0,0.9638582468032836
ac/dc,shoot to thrill,,
ac/dc,thunderstruck,2.0,0.9690970182418824
ac/dc,you shook me all night long,,
ac/dc,thunderstruck - live,2.0,0.9690970182418824
afi,back into the sun,,
afi,miss murder,,
afi,trash bat,,
afi,break angels,,
afi,17 crimes,,
afi,girls not grey,,
afi,love like winter,,
ajr,im ready,,
am taxi,the mistake,,
apse,from the north,,
ashes divide,forever can be,,
aaron carter,sooner or later,,
acceptance,so contagious,,
ace hood,bugatti,,
ace of base,the sign,,
ace of base,all that she wants,,
ace of base,beautiful life,,
acid pauli,swing bob - acid paulis kosmik remix,,
adebisi shank,big unit,,
adele,someone like you,,
adele,rolling in the deep,,
adele,chasing pavements,,
adelitas way,criticize,,
adventure club,do i see color,,
aer,floats my boat,,
aerosmith,sweet emotion,,
aerosmith,love in an elevator,,
aerosmith,i dont want to miss a thing,3.0,0.9658583402633668
aerosmith,dude looks like a lady,4.0,0.9206591248512268
aerosmith,same old song and dance,,
aerosmith,i dont want to miss a thing - from armageddon soundtrack,3.0,0.9658583402633668
aerosmith,train kept a rollin,,
aerosmith,dream on,,
aerosmith,dude (looks like a lady),4.0,0.9206591248512268
aerosmith,walk this way,,
afrojack,no beef - vocal mix,,
afrojack,ten feet tall,,
afrojack,switch - des3ett remix,,
afrojack,take over control (spencer hill mix) feat. eva simons,,
afrojack,the spark,,
after midnight project,take me home,,
air dubai,warning - feat. patricia lynn,5.0,0.769027590751648
air dubai,warning (feat. patricia lynn),5.0,0.769027590751648
akon,lonely,,
akon,smack that - dirty,6.0,0.9651761054992676
akon,lonely - old version,,
akon,smack that,6.0,0.9651761054992676
akon,sorry blame it on me,,
alanis morissette,the morning (from the film a small section of the world),,
alanis morissette,you oughta know,,
alejandro fernandez,me dedique a perderte,,
alejandro fernandez,canta corazon,,
alejandro fernandez,matalas,,
alejandro sanz,corazon partio,,
alessia cara,how far ill go - from moana,,
alessia cara,here,,
alesso,cool,,
alex g,problem,,
alexander,truth,,
alexander,te amo,,
alexisonfire,this could be anywhere in the world,,
alice cooper,under my wheels,7.0,0.9617449045181274
alice cooper,schools out,8.0,0.9560105800628662
alice cooper,schools out (album/single version),8.0,0.9560105800628662
alice cooper,under my wheels - remastered version,7.0,0.9617449045181274
alice francis,shoot him down - parov stelar radio version,9.0,0.9570159912109376
alice francis,shoot him down,9.0,0.9570159912109376
alice in chains,man in the box,,
alice in chains,rooster,,
alien ant farm,movies,,
alien ant farm,smooth criminal,,
alien ant farm,homage,,
alkaline trio,calling all skeletons,,
all out,lights ft. xv,,
all that remains,this calling,,
all that remains,six,,
all that remains,chiron,,
all that remains,overcome,,
all time low,hello brooklyn,,
all time low,break your little heart,,
all time low,painting flowers,,
all time low,missing you,,
all time low,remembering sunday,,
all time low,walls,,
all time low,lost in stereo,,
all time low,fools holiday,,
all time low,somethings gotta give,,
all time low,dear maria count me in,,
all time low,kids in the dark,,
all time low,weightless,,
all time low,backseat serenade,,
all time low,damned if i do ya (damned if i dont),,
all-4-one,i swear,,
allister,somewhere on fullerton,,
allister,waiting,,
allstar weekend,journey to the end of my life,,
allstar weekend,the weekend,,
allstar weekend,hey princess,,
aloe blacc,i need a dollar,,
aloe blacc,wake me up - acoustic,,
aloe blacc,love is the answer,,
alok,hear me now,,
alvarez kings,the other side of sadness,,
alvaro soler,sofia,,
aly aj,like whoa,,
aly aj,potential breakup song,,
amason,kelly,,
amber,this is your night,,
amber pacific,something to be said,,
amber pacific,watching over me,,
amber pacific,save me from me,,
amber pacific,runaway (featuring mike herrera of mxpx),,
amber pacific,we cant fake this,,
amber pacific,burdens of the past,,
amenazzy,nadie como tu,,
american authors,bring it on home (camp fire mix) feat. phillip phillips maddie poppe,,
american authors,best day of my life,,
american authors,believer,,
american hi-fi,we cant be friends,,
american hi-fi,something real,,
american hi-fi,rise,,
american hi-fi,highs and lows,,
american hi-fi,the geeks get the girls,,
american hi-fi,where did we go wrong,,
american hi-fi,flavor of the weak,,
american hi-fi,this is the sound,,
amon amarth,war of the gods,,
ana tijoux,1977,,
anarbor,let the games begin,,
anarbor,who can save me now,,
anarbor,useless,,
anarbor,you and i,,
anarbor,damage ive done,,
anarbor,passion for publication,,
anarbor,gypsy woman,,
anarbor,the brightest green,,
anarchy club,get clean,,
anarchy club,blood doll,,
anarchy club,behind the mask,,
anberlin,the unwinding cable car,,
anberlin,the feel good drag,,
anberlin,feel good drag,,
anberlin,dismantle.repair.,10.0,0.8978089094161987
anberlin,dismantle. repair.,10.0,0.8978089094161987
anberlin,hearing voices,,
andrew huang,nostalgia,,
andrew lloyd webber,the music of the night,,
andrew lloyd webber,the phantom of the opera,,
andrew mcmahon,learn to dance,,
andrew mcmahon in the wilderness,after the fire,,
andrew mcmahon in the wilderness,high dive,,
andrew mcmahon in the wilderness,cecilia and the satellite,,
andrew mcmahon in the wilderness,see her on the weekend,,
andrew w.k.,party hard,,
andy grammer,keep your head up,,
andy grammer,honey im good.,,
anemic,escape my fate,,
angel witch,angel witch,,
angela lansbury,beauty and the beast - from beauty and the beast / soundtrack version,,
angels airwaves,everythings magic,,
angels airwaves,paralyzed,,
angels airwaves,the adventure,,
angels airwaves,secret crowds,,
angus julia stone,big jet plane - radio edit,,
anita oday,that old feeling,,
anna kendrick/kendrick lamar ft drake/florence and the machine,poetic,,
anna phoebe,blackstar,,
anne-marie,alarm,,
anthem lights,we are never getting back together,,
anthem lights,taylor swift mash-up,,
anthrax,got the time,,
anthrax,madhouse,,
anthrax,caught in a mosh,11.0,0.968271017074585
anthrax,one world - alternate take,12.0,0.7926148580490487
anthrax,one world (alternate take),12.0,0.7926148580490487
anthrax,caught in a mosh remastered,11.0,0.968271017074585
anthrax,i am the law,,
anthrax,one world,12.0,0.9562498931375174
antony and the johnsons,knockin on heavens door,,
antonio carlos jobim,the girl from ipanema,,
ape fight,you think we suck,,
aphex twin,s950tx16wasr10 163.97earth portal mix,,
apocalyptica,nothing else matters,,
approaching nirvana,quiet,,
april sixth,roses - ep version,,
april sixth,suicidal - ep version,,
aqua,barbie girl,,
