Artist,Song
.38 special,hold on loosely
.38 special,caught up in you
10 years,just cant win
10 years,dying youth
12 stones,anthem for the underdog
21 savage,monster
21 savage,a lot
2am club,mary
2gether,the hardest part of breaking up (is getting back your stuff)
3 doors down,kryptonite
3 doors down,here without you
30 seconds to mars,the kill
30 seconds to mars,kings and queens
311,hey you
311,sunset in july
3lau,how you love me - acoustic version
3oh3,back to life
3oh3,streets of gold
3oh3,do or die
3oh3,dont trust me
3oh3,starstrukk - feat. katyperry
3oh3,richman
3oh3,double vision
3oh3,youngblood
3rddy baby,im on fire (beam me up) (feat. renzo)
4 non blondes,whats up
44,155
44,make you smile
44,when your heart stops beating
5 seconds of summer,dont stop
5 seconds of summer,she looks so perfect
5 seconds of summer,good girls
5 seconds of summer,killer queen
5 seconds of summer,what i like about you - studio mix
5 seconds of summer,the girl who cried wolf
5 seconds of summer,shes kinda hot
5 seconds of summer,want you back
65daysofstatic,heat death infinity splitter
6lack,nonchalant
a boogie wit da hoodie,look back at it
a change of pace,weekend warriors
a dancing beggar,there is no hope here
a day to remember,all i want
a day to remember,if it means a lot to you
a day to remember,right back at it again
a flock of seagulls,i ran (so far away)
a great big world,say something
a great big world,hold each other
a perfect circle,over
a perfect circle,judith
a perfect circle,the hollow
a perfect circle,3 libras
a perfect circle,the noose
a perfect circle,the outsider
a r i z o n a,oceans away
a r i z o n a,feed the beast
a rocket to the moon,sometimes
a rocket to the moon,like we used to
a rocket to the moon,life of the party
a rocket to the moon,whole lotta you
a rocket to the moon,mr. right
a rocket to the moon,ever enough
a silent film,harbour lights
a static lullaby,half man half shark equals one complete gentleman
a static lullaby,toxic
a static lullaby,toxic (britney spears cover)
aap ferg,plain jane
aap mob,feels so good
aap rocky,multiply
aaron carter,sooner or later
ac/dc,you shook me all night long
ac/dc,thunderstruck
ac/dc,t.n.t.
ac/dc,shoot to thrill
ac/dc,highway to hell
ac/dc,tnt
ac/dc,stormy may day
ac/dc,back in black
acceptance,so contagious
ace hood,bugatti
ace of base,all that she wants
ace of base,the sign
ace of base,beautiful life
acid pauli,swing bob - acid paulis kosmik remix
adebisi shank,big unit
adele,chasing pavements
adele,rolling in the deep
adele,someone like you
adelitas way,criticize
adventure club,do i see color
aer,floats my boat
aerosmith,dream on
aerosmith,train kept a rollin
aerosmith,same old song and dance
aerosmith,love in an elevator
aerosmith,dude looks like a lady
aerosmith,i dont want to miss a thing
aerosmith,walk this way
aerosmith,sweet emotion
afi,17 crimes
afi,love like winter
afi,back into the sun
afi,miss murder
afi,trash bat
afi,break angels
afi,girls not grey
afrojack,switch - des3ett remix
afrojack,ten feet tall
afrojack,the spark
afrojack,take over control (spencer hill mix) feat. eva simons
afrojack,no beef - vocal mix
after midnight project,take me home
age of spades,journey south
air dubai,warning - feat. patricia lynn
ajr,im ready
akon,smack that
akon,lonely
akon,sorry blame it on me
akon,lonely - old version
alanis morissette,you oughta know
alanis morissette,the morning (from the film a small section of the world)
alejandro fernandez,me dedique a perderte
alejandro fernandez,canta corazon
alejandro fernandez,matalas
alejandro sanz,corazon partio
alessia cara,how far ill go - from moana
alessia cara,here
alesso,cool
alex g,problem
alexander,te amo
alexander,truth
alexisonfire,this could be anywhere in the world
alice cooper,schools out
alice cooper,under my wheels
alice francis,shoot him down
alice in chains,man in the box
alice in chains,rooster
alien ant farm,movies
alien ant farm,homage
alien ant farm,smooth criminal
alkaline trio,calling all skeletons
all out,lights ft. xv
all that remains,chiron
all that remains,overcome
all that remains,this calling
all that remains,six
all time low,damned if i do ya (damned if i dont)
all time low,weightless
all time low,backseat serenade
all time low,kids in the dark
all time low,lost in stereo
all time low,somethings gotta give
all time low,missing you
all time low,painting flowers
all time low,break your little heart
all time low,hello brooklyn
all time low,remembering sunday
all time low,dear maria count me in
all time low,walls
all time low,fools holiday
all-4-one,i swear
allister,waiting
allister,somewhere on fullerton
allstar weekend,the weekend
allstar weekend,hey princess
allstar weekend,journey to the end of my life
aloe blacc,wake me up - acoustic
aloe blacc,love is the answer
aloe blacc,i need a dollar
alok,hear me now
alt-j,breezeblocks
alvarez kings,the other side of sadness
alvaro soler,sofia
aly aj,potential breakup song
aly aj,like whoa
am taxi,the mistake
amason,kelly
amber,this is your night
amber pacific,watching over me
amber pacific,something to be said
amber pacific,burdens of the past
amber pacific,we cant fake this
amber pacific,runaway (featuring mike herrera of mxpx)
amber pacific,save me from me
amenazzy,nadie como tu
american authors,best day of my life
american authors,believer
american authors,bring it on home (camp fire mix) feat. phillip phillips maddie poppe
american hi-fi,we cant be friends
american hi-fi,something real
american hi-fi,rise
american hi-fi,this is the sound
american hi-fi,highs and lows
american hi-fi,the geeks get the girls
american hi-fi,where did we go wrong
american hi-fi,flavor of the weak
amon amarth,war of the gods
ana tijoux,1977
anarbor,the brightest green
anarbor,passion for publication
anarbor,damage ive done
anarbor,you and i
anarbor,who can save me now
anarbor,let the games begin
anarbor,gypsy woman
anarbor,useless
anarchy club,blood doll
anarchy club,get clean
anarchy club,behind the mask
anberlin,feel good drag
anberlin,dismantle.repair.
anberlin,the unwinding cable car
anberlin,the feel good drag
anberlin,hearing voices
andrew huang,nostalgia
andrew lloyd webber,the music of the night
andrew lloyd webber,the phantom of the opera
andrew mcmahon,learn to dance
andrew mcmahon in the wilderness,see her on the weekend
andrew mcmahon in the wilderness,cecilia and the satellite
andrew mcmahon in the wilderness,high dive
andrew mcmahon in the wilderness,after the fire
andrew w.k.,party hard
andy grammer,honey im good.
andy grammer,keep your head up
anemic,escape my fate
angel witch,angel witch
angela lansbury,beauty and the beast - from beauty and the beast / soundtrack version
angels airwaves,the adventure
angels airwaves,everythings magic
angels airwaves,paralyzed
angels airwaves,secret crowds
angus julia stone,big jet plane - radio edit
anita oday,that old feeling
