,listID,address,price,bedrooms,bathrooms,square_feet,city,zipcode,state,lat,lon,SHAPE
0,2,1200 Matamoros St,179900.0,3,2,1627,Mission,78572,TX,26.2083479671799,-98.3146725324614,"{'x': -98.3146725324614, 'y': 26.2083479671799, 'spatialReference': {'wkid': 4326}}"
1,3,3303 Santa Erica St,249000.0,4,4,3066,Mission,78572,TX,26.1703693557091,-98.3034011975389,"{'x': -98.3034011975389, 'y': 26.1703693557091, 'spatialReference': {'wkid': 4326}}"
2,4,1406 Colosios,305000.0,4,5,3324,Mission,78572,TX,26.1893232094464,-98.3107733818673,"{'x': -98.3107733818673, 'y': 26.1893232094464, 'spatialReference': {'wkid': 4326}}"
3,5,1001 Burney St,130000.0,3,2,1806,Mission,78572,TX,26.2186216470884,-98.3372837992595,"{'x': -98.3372837992595, 'y': 26.2186216470884, 'spatialReference': {'wkid': 4326}}"
4,6,1206 Flamingo Ave,170000.0,4,3,2808,Mission,78572,TX,26.2126903861037,-98.2870018838708,"{'x': -98.2870018838708, 'y': 26.2126903861037, 'spatialReference': {'wkid': 4326}}"
5,7,1807 Tierra Dorada Blvd,135500.0,3,2,1318,Mission,78572,TX,26.2104090321158,-98.3478923991713,"{'x': -98.3478923991713, 'y': 26.2104090321158, 'spatialReference': {'wkid': 4326}}"
6,8,2013 Peace Ave,119900.0,4,2,1745,Mission,78572,TX,26.2267039167181,-98.3285350843114,"{'x': -98.3285350843114, 'y': 26.2267039167181, 'spatialReference': {'wkid': 4326}}"
7,9,1201 Lucksinger Rd,189000.0,3,4,2268,Mission,78572,TX,26.2142090793695,-98.2964060535503,"{'x': -98.2964060535503, 'y': 26.2142090793695, 'spatialReference': {'wkid': 4326}}"
8,10,2213 Hackberry,279850.0,4,3,3292,Mission,78572,TX,26.2213741025957,-98.2812557232766,"{'x': -98.2812557232766, 'y': 26.2213741025957, 'spatialReference': {'wkid': 4326}}"
9,11,2402 San Alejandro,479000.0,6,7,5484,Mission,78572,TX,26.1760146840621,-98.3044812806162,"{'x': -98.3044812806162, 'y': 26.1760146840621, 'spatialReference': {'wkid': 4326}}"
10,12,2503 Brentwood Dr,199900.0,4,3,1900,Mission,78572,TX,26.2132562093608,-98.2802187739935,"{'x': -98.2802187739935, 'y': 26.2132562093608, 'spatialReference': {'wkid': 4326}}"
11,13,1710 Jonathon Dr,279000.0,3,4,2488,Mission,78572,TX,26.1939731902625,-98.3017878679544,"{'x': -98.3017878679544, 'y': 26.1939731902625, 'spatialReference': {'wkid': 4326}}"
12,14,4109 Santa Maria St,239900.0,4,4,3416,Mission,78572,TX,26.1621021523157,-98.3006204630378,"{'x': -98.3006204630378, 'y': 26.1621021523157, 'spatialReference': {'wkid': 4326}}"
13,15,403 Venus St,98000.0,2,2,1132,Mission,78572,TX,26.2067582090146,-98.3036854883401,"{'x': -98.3036854883401, 'y': 26.2067582090146, 'spatialReference': {'wkid': 4326}}"
14,16,2431 Christina Ave,245000.0,3,4,2116,Mission,78572,TX,26.2045545525338,-98.2839351655591,"{'x': -98.2839351655591, 'y': 26.2045545525338, 'spatialReference': {'wkid': 4326}}"
