"address","city","state","zipcode","AUTO_UNIQUE_ID_2019-08-10_cegarza_zerozip","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"2107 Mauve Dr","Mission","TX","78572",1,"USCGeocoder",312.4857,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1976.86076983975","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1891021331404,-98.3542211748681,"Exact"
"608 S Castillos Y Diamantes St","Mission","TX","78572",2,"USCGeocoder",312.4985,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"1903 Selena St","Mission","TX","78572",3,"USCGeocoder",218.7994,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3767.30224755389","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2027549408477,-98.2958830261236,"Exact"
"1008 Comanche St","Mission","TX","78572",4,"USCGeocoder",265.6347,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","4767.14674112655","LinearInterpolationAddressRange","StreetSegment","93.0769230769231","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.206450755425,-98.4069356426267,"Relaxed"
"2316 Antigua Dr","Mission","TX","78572",5,"USCGeocoder",234.3751,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2902 Santa Sofia Ct","Mission","TX","78572",6,"USCGeocoder",296.879,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"4005 Grand Canal Dr","Mission","TX","78572",7,"USCGeocoder",203.0388,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"2503 San Esteban St","Mission","TX","78572",8,"USCGeocoder",187.4349,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"513 Castillos Y Diamantes St","Mission","TX","78572",9,"USCGeocoder",218.958,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"611 S Castillos Y Diamantes St","Mission","TX","78572",10,"USCGeocoder",187.3008,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
"3509 Oriole Dr","Mission","TX","78572",11,"USCGeocoder",250.006,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","204351411.063355","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",26.2280628113049,-98.3767135906025,"Relaxed;Soundex"
