"address","city","state","zipcode","AUTO_UNIQUE_ID_2019-08-09_cegarza_zillow2","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"1200 Matamoros St","Mission","TX","78572",1,"USCGeocoder",1593.6935,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","5857.30037414454","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2083479671799,-98.3146725324614,"Exact"
"3303 Santa Erica St","Mission","TX","78572",2,"USCGeocoder",78.1248,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","797.848716706038","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1703693557091,-98.3034011975389,"Relaxed"
"1406 Colosios","Mission","TX","78572",3,"USCGeocoder",171.8916,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","929.636644348502","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.1893232094464,-98.3107733818673,"Relaxed"
"1001 Burney St","Mission","TX","78572",4,"USCGeocoder",578.1251,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","662.42928891629","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2186216470884,-98.3372837992595,"Relaxed"
"1206 Flamingo Ave","Mission","TX","78572",5,"USCGeocoder",312.5068,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2262.69741746061","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2126903861037,-98.2870018838708,"Exact"
"1807 Tierra Dorada Blvd","Mission","TX","78572",6,"USCGeocoder",109.3692,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","554.388524800539","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2104090321158,-98.3478923991713,"Relaxed"
"2013 Peace Ave","Mission","TX","78572",7,"USCGeocoder",109.4261,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3913.66435275768","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2267039167181,-98.3285350843114,"Exact"
"1201 Lucksinger Rd","Mission","TX","78572",8,"USCGeocoder",140.6523,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2213.08844816685","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",26.2142090793695,-98.2964060535503,"Relaxed"
"2213 Hackberry","Mission","TX","78572",9,"USCGeocoder",140.5377,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3283.36846906284","LinearInterpolationAddressRange","StreetSegment","97.0414201183432","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.2213741025957,-98.2812557232766,"Relaxed"
"2402 San Alejandro","Mission","TX","78572",10,"USCGeocoder",484.3661,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3390.22495642849","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",26.1760146840621,-98.3044812806162,"Exact"
